target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,Nc+T30+T50,0.5507092501132743,-0.04744892156950775,-0.15744207622033723,262,535,450
fan_eff_mod,fan,LP,Nc+T30+P15,0.7154701368702856,-0.31373686751499896,-0.4761667463833792,262,535,450
fan_eff_mod,fan,LP,Nc+T30+P21,0.715502214101208,-0.3138526120072789,-0.47629680147637443,262,535,450
fan_eff_mod,fan,LP,Nc+T30+P24,0.5389145715167258,0.07360101538520669,-0.051425672300361436,262,535,450
fan_eff_mod,fan,LP,Nc+T30+Ps30,0.6644798998395167,0.38215569912638403,0.29476291536430255,262,535,450
fan_eff_mod,fan,LP,Nc+T30+P40,0.469189714833645,0.26583145345870207,0.18130087966583064,262,535,450
fan_eff_mod,fan,LP,Nc+T30+P50,0.379513802298766,-0.12308366369961443,-0.2901552602015547,262,535,450
fan_eff_mod,fan,LP,Nc+T48+T50,0.24836085209161204,0.04947316473789054,-0.030682837842881172,262,535,450
fan_eff_mod,fan,LP,Nc+T48+P15,0.46051970483141513,-0.027006657279623925,-0.09986919290117413,262,535,450
fan_eff_mod,fan,LP,Nc+T48+P21,0.46058662298482994,-0.027303212569322,-0.10018678775287237,262,535,450
fan_eff_mod,fan,LP,Nc+T48+P24,0.3943331229844819,-0.041317150344048814,-0.12773117421233104,262,535,450
fan_eff_mod,fan,LP,Nc+T48+Ps30,0.1965950378012404,0.19763470959179186,0.21383324599933695,262,535,450
fan_eff_mod,fan,LP,Nc+T48+P40,-0.01928196414351091,-0.18563963248561777,-0.25162347457941703,262,535,450
fan_eff_mod,fan,LP,Nc+T48+P50,-0.17133225522811119,-0.5345954740613792,-0.6351696743549338,262,535,450
fan_eff_mod,fan,LP,Nc+T50+P15,0.0707339659367118,-0.262450145221776,-0.3047908278099116,262,535,450
fan_eff_mod,fan,LP,Nc+T50+P21,0.07081239247666621,-0.26291025457694417,-0.3052663685420325,262,535,450
fan_eff_mod,fan,LP,Nc+T50+P24,0.2738291282586887,-0.3194729241364538,-0.4492108867743605,262,535,450
fan_eff_mod,fan,LP,Nc+T50+Ps30,-0.09619688670924763,-0.014805652884228637,0.03593257901094371,262,535,450
fan_eff_mod,fan,LP,Nc+T50+P40,0.1261104424545043,0.04998212158949744,0.05949076301067946,262,535,450
fan_eff_mod,fan,LP,Nc+T50+P50,0.0796489844910839,-0.16283933355766167,-0.22975212995702354,262,535,450
fan_eff_mod,fan,LP,Nc+P15+P21,0.41770680182897213,-0.2915329140241967,-0.4786495404476594,262,535,450
fan_eff_mod,fan,LP,Nc+P15+P24,0.4524861726635809,-0.10922660854110733,-0.2759666587126961,262,535,450
fan_eff_mod,fan,LP,Nc+P15+Ps30,0.47366045458408057,-0.2030389727826043,-0.2691244215280708,262,535,450
fan_eff_mod,fan,LP,Nc+P15+P40,0.3921778788155832,-0.19413374144154716,-0.28220751645882514,262,535,450
fan_eff_mod,fan,LP,Nc+P15+P50,0.4769987297526363,0.4345477095670839,0.3935963030456101,262,535,450
fan_eff_mod,fan,LP,Nc+P21+P24,0.49983255566118,-0.04948807359354479,-0.20716497772598608,262,535,450
fan_eff_mod,fan,LP,Nc+P21+Ps30,0.4762443959707906,-0.17251288326941427,-0.26183949389529726,262,535,450
fan_eff_mod,fan,LP,Nc+P21+P40,0.39221493611512553,-0.19418082593645614,-0.282258073688028,262,535,450
fan_eff_mod,fan,LP,Nc+P21+P50,0.46601711616323377,0.1820214824663121,0.09288061689904725,262,535,450
fan_eff_mod,fan,LP,Nc+P24+Ps30,0.5473858508386993,0.21624199159978452,0.16938614489395976,262,535,450
fan_eff_mod,fan,LP,Nc+P24+P40,0.47365086078354746,0.27811664446242224,0.22824564789740354,262,535,450
fan_eff_mod,fan,LP,Nc+P24+P50,0.24503150570632637,-0.2589910094543346,-0.3347437329227416,262,535,450
