split,unit,rmse,age_rmse,leak_peak,diagnosable,ds,failure_mode
6,4008,12.538491111047422,20.289498094732068,1.0,False,DS04,fan
6,4009,15.097227104407368,0.23558728289128686,1.0,False,DS04,fan
6,4010,12.681395065634968,10.36942888058611,1.0,False,DS04,fan
6,5001,8.782384488272186,6.221319293975326,1.0,False,DS05,HPC
6,5002,7.043799201312692,6.221319293975326,1.0,False,DS05,HPC
6,5003,9.311753397577677,8.189342530850888,1.0,False,DS05,HPC
6,5004,10.743902189024634,20.289498094732068,1.0,False,DS05,HPC
6,5005,12.72952213044874,20.914477829952926,1.0,False,DS05,HPC
6,5006,10.530619516613223,6.19276392059537,1.0,False,DS05,HPC
6,5007,10.75950042846864,10.36942888058611,1.0,False,DS05,HPC
6,5008,9.124451758137939,14.90386839494991,1.0,False,DS05,HPC
6,5009,7.198028779878358,4.19773524890236,1.0,False,DS05,HPC
6,5010,7.421085463172363,7.923598164203949,1.0,False,DS05,HPC
6,6001,8.76369564847616,4.458433979737788,1.0,False,DS06,HPC+LPC
6,6002,6.477128176802235,4.458433979737788,1.0,False,DS06,HPC+LPC
6,6003,8.666083575578744,8.189342530850888,1.0,False,DS06,HPC+LPC
6,6004,8.566837005939494,11.931940953715426,1.0,False,DS06,HPC+LPC
6,6005,12.623928316463175,20.289498094732068,1.0,False,DS06,HPC+LPC
6,6006,8.503114081962874,5.194936595934481,1.0,False,DS06,HPC+LPC
6,6007,8.689698746682101,6.221319293975326,1.0,False,DS06,HPC+LPC
6,6008,9.547288001940112,14.90386839494991,1.0,False,DS06,HPC+LPC
6,6009,6.433718459784323,4.19773524890236,1.0,False,DS06,HPC+LPC
6,6010,7.2114391529575395,7.923598164203949,1.0,False,DS06,HPC+LPC
6,7005,8.271927491300996,10.36942888058611,1.0,True,DS07,LPT
6,8004,5.933466710988593,2.2087352603971784,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
6,8007,4.870424024782531,5.194936595934481,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
6,9009,7.997773725879573,14.181316684143741,1.0,True,DS08c-008,HPC+HPT+LPC+LPT+fan
7,1009,7.973539186392459,5.582840795808648,1.0,True,DS01-005,HPT
7,2016,6.075279565241546,10.86252172988716,1.0,True,DS02-006,HPT+LPT
7,3013,8.838077661172322,2.892702280451842,1.0,True,DS03-012,HPT+LPT
7,3015,4.8834643833709395,6.872651836139273,1.0,True,DS03-012,HPT+LPT
7,4001,17.28070454525661,11.341596831417892,1.0,False,DS04,fan
7,4002,19.518101879996337,0.9261719968175476,1.0,False,DS04,fan
7,4003,18.28492203891051,20.403287673482836,1.0,False,DS04,fan
7,4004,23.278398164295705,4.880348989918471,1.0,False,DS04,fan
7,4005,14.976633221074497,20.403287673482836,1.0,False,DS04,fan
7,4006,13.919366651413343,8.135603341086208,1.0,False,DS04,fan
7,4007,10.734181986353322,11.341596831417892,1.0,False,DS04,fan
7,4008,16.04515938122458,19.77260785012131,1.0,False,DS04,fan
7,4009,16.742604960073027,0.9261719968175476,1.0,False,DS04,fan
7,4010,17.20586473965521,9.76578938891806,1.0,False,DS04,fan
7,5001,9.106222648202388,5.582840795808648,1.0,False,DS05,HPC
