target,inputs,rho,R2,NRMSE,is_baseline
HPT_eff_mod,P15+P21+P24,0.39522946736097675,0.279707969444846,0.8487002006333886,False
HPT_eff_mod,Nf+P21+P24,0.38611443756307495,0.14942583680931998,0.9222657768727409,False
HPT_eff_mod,P24+P40+P50,0.3840130069292112,0.4025649421974068,0.7729392329301142,False
HPT_eff_mod,Nf+P24+P50,0.38210461499167336,0.26033777298561467,0.8600361777357889,False
HPT_eff_mod,P24+Ps30+P50,0.36285557329340673,0.196898293576088,0.8961594202059765,False
HPT_eff_mod,Ps30+P40+P50,0.36127986693706937,0.29444175193599165,0.8399751472894949,False
HPT_eff_mod,P21+P40+P50,0.3610519429790908,0.23862060012378283,0.8725705701410158,False
HPT_eff_mod,T24+Ps30+P50,0.3434082126256147,0.15834510081271524,0.917417516285407,False
HPT_eff_mod,P15+P21+Ps30,0.3111213880953637,0.30267263435725067,0.8350612945423525,False
HPT_eff_mod,Nf+P40+P50,0.2906825052984799,0.2723831024079908,0.8530046292910779,False
HPT_eff_mod,Nf+T30+Ps30,0.277351168102216,0.436976168653877,0.7503491396317604,False
HPT_eff_mod,Nf+Ps30+P50,0.2768324899451231,0.07027313297499238,0.964223452849498,False
HPT_eff_mod,P21+P24+P50,0.2689824138084659,0.08233971000519835,0.9579458700755498,False
HPT_eff_mod,Nf+P21+P50,0.2609639236409961,-0.010284102611869184,1.0051288985059923,False
HPT_eff_mod,P15+P21+P50,0.26048917913652647,0.03589720587220757,0.9818873632590414,False
HPT_eff_mod,Nf+P15+P50,0.20164009346570222,0.06593667070384845,0.9664695180377659,False
